,温度,湿度,VOC,,,,,,,,
,烧水，10分种左右，中等温度15-50,烧水十分钟，湿度差18-58（高水气）,烧水 15分钟 基本无变化,人体,烟机档位,开关机,,,烟机档位,,
2019/12/18 7:01:30,1441,1756,0022,0001,0000,0000,,,0000,,
2019/12/18 7:01:31,1490,1792,0029,0001,0000,0000,,,0000,,
2019/12/18 7:01:32,1477,1782,0034,0001,0000,0000,,,0000,,
2019/12/18 7:01:33,1512,1809,0028,0001,0000,0000,,,0000,,
2019/12/18 7:01:34,1503,1802,0033,0001,0000,0000,,,0000,,
2019/12/18 7:01:35,1516,1812,0034,0001,0000,0000,,,0000,,
2019/12/18 7:01:36,1495,1797,0032,0001,0000,0000,,,0000,,
2019/12/18 7:01:37,1515,1811,0030,0001,0000,0000,,,0000,,
2019/12/18 7:01:38,1522,1816,0038,0001,0000,0000,,,0000,,
2019/12/18 7:01:39,1531,1823,0028,0001,0000,0000,,,0000,,
2019/12/18 7:01:40,1511,1808,0026,0001,0000,0000,,,0000,,
2019/12/18 7:01:41,1524,1818,0032,0001,0000,0000,,,0000,,
2019/12/18 7:01:42,1483,1787,0031,0001,0000,0000,,,0000,,
2019/12/18 7:01:43,1527,1821,0033,0001,0000,0000,,,0000,,
2019/12/18 7:01:44,1510,1808,0031,0001,0000,0000,,,0000,,
2019/12/18 7:01:45,1531,1823,0036,0001,0000,0000,,,0000,,
2019/12/18 7:01:46,1485,1789,0033,0001,0000,0000,,,0000,,
2019/12/18 7:01:47,1502,1801,0023,0001,0000,0000,,,0000,,
2019/12/18 7:01:48,1510,1807,0029,0001,0000,0000,,,0000,,
2019/12/18 7:01:49,1493,1795,0030,0001,0000,0000,,,0000,,
2019/12/18 7:01:50,1500,1800,0028,0001,0000,0000,,,0000,,
2019/12/18 7:01:51,1493,1794,0031,0001,0000,0000,,,0000,,
2019/12/18 7:01:52,1517,1812,0028,0001,0000,0000,,,0000,,
2019/12/18 7:01:53,1473,1780,0030,0001,0000,0000,,,0000,,
2019/12/18 7:01:54,1485,1789,0029,0001,0000,0000,,,0000,,
2019/12/18 7:01:55,1494,1796,0032,0001,0000,0000,,,0000,,
2019/12/18 7:01:56,1495,1796,0032,0001,0000,0000,,,0000,,
2019/12/18 7:01:57,1516,1812,0032,0001,0000,0000,,,0000,,
2019/12/18 7:01:58,1483,1787,0029,0001,0000,0000,,,0000,,
2019/12/18 7:01:59,1486,1789,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:00,1470,1777,0028,0001,0000,0000,,,0000,,
2019/12/18 7:02:01,1497,1798,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:02,1500,1800,0032,0001,0000,0000,,,0000,,
2019/12/18 7:02:03,1500,1800,0032,0001,0000,0000,,,0000,,
2019/12/18 7:02:04,1484,1788,0034,0001,0000,0000,,,0000,,
2019/12/18 7:02:05,1508,1806,0027,0001,0000,0000,,,0000,,
2019/12/18 7:02:06,1501,1801,0032,0001,0000,0000,,,0000,,
2019/12/18 7:02:07,1488,1791,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:08,1484,1788,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:09,1470,1778,0034,0001,0000,0000,,,0000,,
2019/12/18 7:02:10,1495,1797,0033,0001,0000,0000,,,0000,,
2019/12/18 7:02:11,1501,1800,0031,0001,0000,0000,,,0000,,
2019/12/18 7:02:12,1502,1801,0028,0001,0000,0000,,,0000,,
2019/12/18 7:02:13,1509,1807,0031,0001,0000,0000,,,0000,,
2019/12/18 7:02:14,1490,1792,0024,0001,0000,0000,,,0000,,
2019/12/18 7:02:15,1502,1801,0033,0001,0000,0000,,,0000,,
2019/12/18 7:02:16,1491,1793,0023,0001,0000,0000,,,0000,,
2019/12/18 7:02:17,1531,1824,0030,0001,0000,0000,,,0000,,
2019/12/18 7:02:18,1502,1802,0028,0001,0000,0000,,,0000,,
2019/12/18 7:02:19,1488,1791,0026,0001,0000,0000,,,0000,,
2019/12/18 7:02:20,1489,1792,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:21,1502,1802,0030,0001,0000,0000,,,0000,,
2019/12/18 7:02:22,1503,1802,0026,0001,0000,0000,,,0000,,
2019/12/18 7:02:23,1542,1831,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:24,1521,1816,0024,0001,0000,0000,,,0000,,
2019/12/18 7:02:25,1490,1792,0032,0001,0000,0000,,,0000,,
2019/12/18 7:02:26,1490,1792,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:27,1502,1801,0036,0001,0000,0000,,,0000,,
2019/12/18 7:02:28,1520,1815,0030,0001,0000,0000,,,0000,,
2019/12/18 7:02:29,1476,1782,0030,0001,0000,0000,,,0000,,
2019/12/18 7:02:30,1530,1822,0028,0001,0000,0000,,,0000,,
2019/12/18 7:02:31,1526,1820,0030,0001,0000,0000,,,0000,,
2019/12/18 7:02:32,1487,1790,0027,0001,0000,0000,,,0000,,
2019/12/18 7:02:33,1517,1813,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:34,1491,1793,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:35,1517,1812,0034,0001,0000,0000,,,0000,,
2019/12/18 7:02:36,1485,1789,0028,0001,0000,0000,,,0000,,
2019/12/18 7:02:37,1479,1784,0033,0001,0000,0000,,,0000,,
2019/12/18 7:02:38,1503,1802,0031,0001,0000,0000,,,0000,,
2019/12/18 7:02:39,1513,1810,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:40,1479,1784,0027,0001,0000,0000,,,0000,,
2019/12/18 7:02:41,1519,1814,0030,0001,0000,0000,,,0000,,
2019/12/18 7:02:42,1496,1797,0034,0001,0000,0000,,,0000,,
2019/12/18 7:02:43,1514,1811,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:44,1533,1825,0031,0001,0000,0000,,,0000,,
2019/12/18 7:02:45,1524,1818,0031,0001,0000,0000,,,0000,,
2019/12/18 7:02:46,1483,1787,0033,0001,0000,0000,,,0000,,
2019/12/18 7:02:47,1458,1768,0035,0001,0000,0000,,,0000,,
2019/12/18 7:02:48,1490,1792,0034,0001,0000,0000,,,0000,,
2019/12/18 7:02:49,1465,1774,0035,0001,0000,0000,,,0000,,
2019/12/18 7:02:50,1503,1802,0034,0001,0000,0000,,,0000,,
2019/12/18 7:02:51,1471,1778,0027,0001,0000,0000,,,0000,,
2019/12/18 7:02:52,1481,1786,0027,0001,0000,0000,,,0000,,
2019/12/18 7:02:53,1510,1807,0033,0001,0000,0000,,,0000,,
2019/12/18 7:02:54,1508,1806,0029,0001,0000,0000,,,0000,,
2019/12/18 7:02:55,1527,1820,0031,0001,0000,0000,,,0000,,
2019/12/18 7:02:56,1486,1790,0032,0001,0000,0000,,,0000,,
2019/12/18 7:02:57,1472,1779,0027,0001,0000,0000,,,0000,,
2019/12/18 7:02:58,1525,1819,0032,0001,0000,0000,,,0000,,
2019/12/18 7:02:59,1511,1808,0029,0001,0000,0000,,,0000,,
2019/12/18 7:03:00,1507,1805,0028,0001,0000,0000,,,0000,,
2019/12/18 7:03:01,1487,1791,0035,0001,0000,0000,,,0000,,
2019/12/18 7:03:02,1483,1788,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:03,1508,1806,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:04,1485,1789,0021,0001,0000,0000,,,0000,,
2019/12/18 7:03:05,1483,1787,0029,0001,0000,0000,,,0000,,
2019/12/18 7:03:06,1496,1797,0029,0001,0000,0000,,,0000,,
2019/12/18 7:03:07,1490,1792,0028,0001,0000,0000,,,0000,,
2019/12/18 7:03:08,1522,1816,0031,0001,0000,0000,,,0000,,
2019/12/18 7:03:09,1472,1779,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:10,1498,1799,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:11,1504,1803,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:12,1497,1798,0033,0001,0000,0000,,,0000,,
2019/12/18 7:03:13,1509,1806,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:14,1513,1810,0029,0001,0000,0000,,,0000,,
2019/12/18 7:03:15,1491,1793,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:16,1499,1799,0033,0001,0000,0000,,,0000,,
2019/12/18 7:03:17,1506,1804,0029,0001,0000,0000,,,0000,,
2019/12/18 7:03:18,1525,1818,0025,0001,0000,0000,,,0000,,
2019/12/18 7:03:19,1510,1808,0028,0001,0000,0000,,,0000,,
2019/12/18 7:03:20,1471,1778,0032,0001,0000,0000,,,0000,,
2019/12/18 7:03:21,1508,1806,0035,0001,0000,0000,,,0000,,
2019/12/18 7:03:22,1528,1821,0034,0001,0000,0000,,,0000,,
2019/12/18 7:03:23,1479,1784,0031,0001,0000,0000,,,0000,,
2019/12/18 7:03:24,1538,1828,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:25,1495,1797,0026,0001,0000,0000,,,0000,,
2019/12/18 7:03:26,1534,1825,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:27,1503,1802,0031,0001,0000,0000,,,0000,,
2019/12/18 7:03:28,1531,1824,0025,0001,0000,0000,,,0000,,
2019/12/18 7:03:29,1473,1779,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:30,1483,1787,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:31,1528,1821,0024,0001,0000,0000,,,0000,,
2019/12/18 7:03:32,1505,1804,0027,0001,0000,0000,,,0000,,
2019/12/18 7:03:33,1521,1816,0032,0001,0000,0000,,,0000,,
2019/12/18 7:03:34,1494,1795,0031,0001,0000,0000,,,0000,,
2019/12/18 7:03:35,1536,1827,0031,0001,0000,0000,,,0000,,
2019/12/18 7:03:36,1504,1803,0028,0001,0000,0000,,,0000,,
2019/12/18 7:03:37,1542,1832,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:38,1482,1786,0032,0001,0000,0000,,,0000,,
2019/12/18 7:03:39,1500,1800,0032,0001,0000,0000,,,0000,,
2019/12/18 7:03:40,1495,1796,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:41,1496,1797,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:42,1470,1778,0036,0001,0000,0000,,,0000,,
2019/12/18 7:03:43,1488,1791,0022,0001,0000,0000,,,0000,,
2019/12/18 7:03:44,1480,1785,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:45,1502,1802,0030,0001,0000,0000,,,0000,,
2019/12/18 7:03:46,1533,1824,0029,0001,0000,0000,,,0000,,
2019/12/18 7:03:47,1500,1800,0036,0001,0000,0000,,,0000,,
2019/12/18 7:03:48,1497,1798,0036,0001,0000,0000,,,0000,,
2019/12/18 7:03:49,1476,1782,0031,0001,0000,0000,,,0000,,
2019/12/18 7:03:50,1460,1770,0036,0001,0000,0000,,,0000,,
2019/12/18 7:03:51,1472,1779,0031,0001,0000,0000,,,0000,,
2019/12/18 7:03:52,1485,1789,0028,0001,0000,0000,,,0000,,
2019/12/18 7:03:53,1507,1805,0035,0001,0000,0000,,,0000,,
2019/12/18 7:03:54,1508,1806,0033,0001,0000,0000,,,0000,,
2019/12/18 7:03:55,1514,1810,0033,0001,0000,0000,,,0000,,
2019/12/18 7:03:56,1493,1795,0029,0001,0000,0000,,,0000,,
2019/12/18 7:03:57,1541,1831,0032,0001,0000,0000,,,0000,,
2019/12/18 7:03:58,1496,1797,0032,0001,0000,0000,,,0000,,
2019/12/18 7:03:59,1511,1808,0029,0001,0000,0000,,,0000,,
2019/12/18 7:04:00,1517,1813,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:01,1484,1788,0028,0001,0000,0000,,,0000,,
2019/12/18 7:04:02,1484,1788,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:03,1533,1825,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:04,1521,1816,0035,0001,0000,0000,,,0000,,
2019/12/18 7:04:05,1521,1816,0032,0001,0000,0000,,,0000,,
2019/12/18 7:04:06,1492,1794,0027,0001,0000,0000,,,0000,,
2019/12/18 7:04:07,1487,1790,0028,0001,0000,0000,,,0000,,
2019/12/18 7:04:08,1491,1793,0033,0001,0000,0000,,,0000,,
2019/12/18 7:04:09,1506,1804,0026,0001,0000,0000,,,0000,,
