测试时间,温度,湿度,VOC,人体
2018/12/18 1:01:01,1441,1756,22,0
2018/12/18 1:01:02,1490,1792,29,0
2018/12/18 1:01:03,1477,1782,34,0
2018/12/18 1:01:04,1512,1809,28,0
2018/12/18 1:01:05,1503,1802,33,0
2018/12/18 1:01:06,1516,1812,34,0
2018/12/18 1:01:07,1495,1797,32,0
2018/12/18 1:01:08,1515,1811,30,0
2018/12/18 1:01:09,1522,1816,38,0
2018/12/18 1:01:10,1531,1823,28,0
2018/12/18 1:01:11,1511,1808,26,0
2018/12/18 1:01:12,1524,1818,32,0
2018/12/18 1:01:13,1483,1787,31,0
2018/12/18 1:01:14,1527,1821,33,0
2018/12/18 1:01:15,1510,1808,31,0
2018/12/18 1:01:16,1531,1823,36,0
2018/12/18 1:01:17,1485,1789,33,0
2018/12/18 1:01:18,1502,1801,23,0
2018/12/18 1:01:19,1510,1807,29,0
2018/12/18 1:01:20,1493,1795,30,0
2018/12/18 1:01:21,1500,1800,28,0
2018/12/18 1:01:22,1493,1794,31,0
2018/12/18 1:01:23,1517,1812,28,0
2018/12/18 1:01:24,1473,1780,30,0
2018/12/18 1:01:25,1485,1789,29,0
2018/12/18 1:01:26,1494,1796,32,0
2018/12/18 1:01:27,1495,1796,32,0
2018/12/18 1:01:28,1516,1812,32,0
2018/12/18 1:01:29,1483,1787,29,0
2018/12/18 1:01:30,1486,1789,29,0
2018/12/18 1:01:31,1470,1777,28,0
2018/12/18 1:01:32,1497,1798,29,0
2018/12/18 1:01:33,1500,1800,32,0
2018/12/18 1:01:34,1500,1800,32,0
2018/12/18 1:01:35,1484,1788,34,0
2018/12/18 1:01:36,1508,1806,27,0
2018/12/18 1:01:37,1501,1801,32,0
2018/12/18 1:01:38,1488,1791,29,0
2018/12/18 1:01:39,1484,1788,29,0
2018/12/18 1:01:40,1470,1778,34,0
2018/12/18 1:01:41,1495,1797,33,0
2018/12/18 1:01:42,1501,1800,31,0
2018/12/18 1:01:43,1502,1801,28,0
2018/12/18 1:01:44,1509,1807,31,0
2018/12/18 1:01:45,1490,1792,24,0
